"","X","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"1",142,3,5,2,1,4,0,0,0,0,0,19,59,79,"17-10-23","13:30:52","nkmjus",1381,"sqa5.png",5,1,"sqa",-120,0,"tri3.png",3,1,"tri",120,-120,"sqa4.png",4,1,"sqa",-120,-120,"cir3.png",3,1,"cir",0,0,"tri4.png",4,1,"tri",0,-120,"",NA,"",NA,NA,"right","left",1046,1619,1,1700224293955,"p3sarrshacol4.png","sarrshacol","new"
"2",143,0,3,0,1,5,2,4,0,0,0,19,59,79,"17-10-23","13:30:52","nkmjus",1381,"sqa5.png",5,1,"sqa",-120,0,"tri4.png",4,1,"tri",120,0,"tri4.png",4,1,"tri",0,-120,"sqa2.png",2,1,"sqa",-120,120,"cir1.png",1,1,"cir",0,0,"",NA,"",NA,NA,"right","left",1046,1619,2,1700224293955,"p3sarrshacol4.png","sarrshacol","new"
"3",144,0,0,0,3,1,2,4,5,0,0,19,59,79,"17-10-23","13:30:52","nkmjus",1381,"tri3.png",3,1,"tri",0,0,"sqa1.png",1,1,"sqa",120,0,"cir5.png",5,1,"cir",-120,0,"sqa4.png",4,1,"sqa",-120,120,"tri3.png",3,1,"tri",0,120,"",NA,"",NA,NA,"right","left",1046,1619,3,1700224293955,"p3sarrshacol4.png","sarrshacol","new"
"4",145,3,0,0,5,1,4,0,0,2,0,19,59,79,"17-10-23","13:30:52","nkmjus",1381,"tri5.png",5,1,"tri",0,0,"cir4.png",4,1,"cir",120,120,"tri4.png",4,1,"tri",-120,-120,"cir3.png",3,1,"cir",120,0,"sqa3.png",3,1,"sqa",-120,0,"",NA,"",NA,NA,"right","left",1046,1619,4,1700224293955,"p3sarrshacol4.png","sarrshacol","new"
"5",287,0,2,4,5,1,3,NA,0,0,0,19,59,79,"09-10-23","17:58:11","",728,"sqa2.png",2,1,"sqa",0,0,"tri1.png",1,1,"tri",0,-120,"sqa3.png",3,1,"sqa",120,0,"tri2.png",2,1,"tri",120,-120,"cir4.png",4,1,"cir",-120,0,"tri0.png",1,"tri",-120,120,"left","left",1209,2272,1,1699549119628,"p3sarrshacol4.png","sarrshacol","new"
"6",288,0,2,5,4,0,NA,3,0,1,0,19,59,79,"09-10-23","17:58:11","",728,"sqa1.png",1,1,"sqa",120,120,"sqa3.png",3,1,"sqa",0,-120,"tri6.png",6,1,"tri",-120,120,"cir4.png",4,1,"cir",-120,0,"sqa3.png",3,1,"sqa",120,-120,"sqa0.png",1,"sqa",120,0,"left","left",1209,2272,2,1699549119628,"p3sarrshacol4.png","sarrshacol","new"
"7",289,0,1,2,3,4,0,0,5,0,0,19,59,79,"09-10-23","17:58:11","",728,"sqa1.png",1,1,"sqa",0,-120,"sqa3.png",3,1,"sqa",120,-120,"tri2.png",2,1,"tri",-120,0,"sqa1.png",1,1,"sqa",0,0,"cir5.png",5,1,"cir",0,120,"sqa0.png",1,"sqa",120,0,"left","left",1209,2272,3,1699549119628,"p3sarrshacol4.png","sarrshacol","new"
"8",290,3,0,2,1,0,5,0,4,0,0,19,59,79,"09-10-23","17:58:11","",728,"sqa1.png",1,1,"sqa",-120,0,"sqa3.png",3,1,"sqa",120,-120,"sqa1.png",1,1,"sqa",-120,-120,"cir5.png",5,1,"cir",0,120,"sqa3.png",3,1,"sqa",120,0,"sqa0.png",1,"sqa",120,0,"left","left",1209,2272,4,1699549119628,"p3sarrshacol4.png","sarrshacol","new"
"9",432,5,1,4,2,0,3,0,0,0,0,19,59,79,"28-09-23","10:03:31","hfpvcf",1801,"cir0.png",0,1,"cir",0,-120,"sqa0.png",0,1,"sqa",-120,0,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",120,-120,"cir0.png",0,1,"cir",-120,-120,"",NA,"",NA,NA,"right","left",1104,1199,1,1698480254443,"p3sarrshacol4.png","sarrshacol","new"
"10",433,0,0,2,3,5,4,1,0,0,0,19,59,79,"28-09-23","10:03:31","hfpvcf",1801,"tri0.png",0,1,"tri",-120,120,"tri0.png",0,1,"tri",120,-120,"sqa0.png",0,1,"sqa",-120,0,"tri0.png",0,1,"tri",120,0,"cir0.png",0,1,"cir",0,0,"",NA,"",NA,NA,"right","left",1104,1199,2,1698480254443,"p3sarrshacol4.png","sarrshacol","new"
"11",434,4,5,3,1,0,2,0,0,0,0,19,59,79,"28-09-23","10:03:31","hfpvcf",1801,"cir0.png",0,1,"cir",-120,0,"sqa0.png",0,1,"sqa",120,0,"sqa0.png",0,1,"sqa",120,-120,"cir0.png",0,1,"cir",-120,-120,"tri0.png",0,1,"tri",0,-120,"",NA,"",NA,NA,"right","left",1104,1199,3,1698480254443,"p3sarrshacol4.png","sarrshacol","new"
"12",435,0,0,4,2,1,3,5,0,0,0,19,59,79,"28-09-23","10:03:31","hfpvcf",1801,"sqa0.png",0,1,"sqa",0,0,"tri0.png",0,1,"tri",-120,0,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",120,-120,"cir0.png",0,1,"cir",-120,120,"",NA,"",NA,NA,"right","left",1104,1199,4,1698480254443,"p3sarrshacol4.png","sarrshacol","new"
"13",718,3,1,0,2,4,5,0,0,0,0,19,59,79,"15-09-23","17:36:02","fxhvbj",2170,"sqa3.png",3,1,"sqa",0,-120,"cir6.png",6,1,"cir",-120,0,"cir1.png",1,1,"cir",-120,-120,"sqa6.png",6,1,"sqa",0,0,"tri5.png",5,1,"tri",120,0,"",NA,"",NA,NA,"None","left",3016,830,1,1697384194844,"p3sarrshacol4.png","sarrshacol","new"
"14",719,4,3,0,2,5,0,1,0,0,0,19,59,79,"15-09-23","17:36:02","fxhvbj",2170,"sqa1.png",1,1,"sqa",-120,120,"cir5.png",5,1,"cir",-120,0,"tri3.png",3,1,"tri",0,-120,"tri1.png",1,1,"tri",-120,-120,"tri3.png",3,1,"tri",0,0,"sqa0.png",1,"sqa",-120,120,"None","left",3016,830,2,1697384194844,"p3sarrshacol4.png","sarrshacol","new"
"15",720,0,3,5,4,0,1,2,0,0,0,19,59,79,"15-09-23","17:36:02","fxhvbj",2170,"tri3.png",3,1,"tri",120,0,"tri6.png",6,1,"tri",-120,120,"sqa1.png",1,1,"sqa",0,-120,"cir3.png",3,1,"cir",-120,0,"sqa4.png",4,1,"sqa",120,-120,"sqa0.png",1,"sqa",-120,120,"None","left",3016,830,3,1697384194844,"p3sarrshacol4.png","sarrshacol","new"
"16",721,3,5,2,0,0,4,0,0,1,0,19,59,79,"15-09-23","17:36:02","fxhvbj",2170,"tri3.png",3,1,"tri",120,120,"sqa2.png",2,1,"sqa",120,-120,"cir2.png",2,1,"cir",-120,-120,"sqa2.png",2,1,"sqa",120,0,"cir3.png",3,1,"cir",0,-120,"sqa0.png",1,"sqa",-120,120,"None","left",3016,830,4,1697384194844,"p3sarrshacol4.png","sarrshacol","new"
"17",863,0,4,1,3,5,0,0,0,0,0,19,59,79,"14-09-23","21:47:16","npoc7u",1578,"sqa4.png",4,1,"sqa",120,-120,"tri0.png",0,0,"tri",120,120,"sqa5.png",5,1,"sqa",-120,0,"tri2.png",2,1,"tri",0,-120,"cir5.png",5,1,"cir",0,0,"",NA,"",NA,NA,"right","right",1337,1422,1,1697312888154,"p3sarrshacol4.png","sarrshacol","new"
"18",864,4,3,1,2,0,5,0,0,0,0,19,59,79,"14-09-23","21:47:16","npoc7u",1578,"cir4.png",4,1,"cir",120,-120,"tri1.png",1,1,"tri",-120,0,"sqa4.png",4,1,"sqa",0,-120,"cir6.png",6,1,"cir",-120,-120,"sqa2.png",2,1,"sqa",120,0,"",NA,"",NA,NA,"right","right",1337,1422,2,1697312888154,"p3sarrshacol4.png","sarrshacol","new"
"19",865,0,2,4,5,3,1,0,0,0,0,19,59,79,"14-09-23","21:47:16","npoc7u",1578,"cir2.png",2,1,"cir",120,0,"tri6.png",6,1,"tri",0,-120,"cir4.png",4,1,"cir",0,0,"tri1.png",1,1,"tri",120,-120,"sqa4.png",4,1,"sqa",-120,0,"",NA,"",NA,NA,"right","right",1337,1422,3,1697312888154,"p3sarrshacol4.png","sarrshacol","new"
"20",866,4,0,1,3,2,0,0,0,0,0,19,59,79,"14-09-23","21:47:16","npoc7u",1578,"sqa4.png",4,1,"sqa",120,-120,"tri5.png",5,1,"tri",0,0,"cir1.png",1,1,"cir",-120,0,"cir6.png",6,1,"cir",-120,-120,"cir1.png",1,0,"cir",120,0,"tri0.png",1,"tri",120,-120,"right","right",1337,1422,4,1697312888154,"p3sarrshacol4.png","sarrshacol","new"
"21",1008,0,1,5,0,3,2,0,4,0,0,19,59,79,"14-09-23","10:47:51","vkifa",1248,"tri0.png",0,1,"tri",0,-120,"tri0.png",0,1,"tri",120,0,"cir0.png",0,1,"cir",0,0,"sqa0.png",0,1,"sqa",0,120,"tri0.png",0,1,"tri",120,-120,"",NA,"",NA,NA,"right","right",797,1752,1,1697273365270,"p3sarrshacol4.png","sarrshacol","new"
"22",1009,0,2,3,5,1,4,0,0,0,0,19,59,79,"14-09-23","10:47:51","vkifa",1248,"cir0.png",0,1,"cir",0,0,"sqa0.png",0,1,"sqa",0,-120,"sqa0.png",0,1,"sqa",120,-120,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",-120,0,"",NA,"",NA,NA,"right","right",797,1752,2,1697273365270,"p3sarrshacol4.png","sarrshacol","new"
"23",1010,0,0,4,0,5,1,0,3,2,0,19,59,79,"14-09-23","10:47:51","vkifa",1248,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",120,120,"tri0.png",0,1,"tri",0,120,"sqa0.png",0,1,"sqa",120,-120,"cir0.png",0,1,"cir",0,0,"",NA,"",NA,NA,"right","right",797,1752,3,1697273365270,"p3sarrshacol4.png","sarrshacol","new"
"24",1011,0,0,0,1,2,0,4,3,5,0,19,59,79,"14-09-23","10:47:51","vkifa",1248,"cir0.png",0,1,"cir",-120,0,"sqa0.png",0,1,"sqa",0,0,"sqa0.png",0,1,"sqa",0,120,"cir0.png",0,1,"cir",-120,120,"tri0.png",0,1,"tri",120,120,"",NA,"",NA,NA,"right","right",797,1752,4,1697273365270,"p3sarrshacol4.png","sarrshacol","new"
"25",1153,NA,0,0,2,5,3,0,0,NA,0,19,59,79,"13-09-23","19:47:46","lw9b5u",1667,"sqa0.png",1,0,"sqa",120,-120,"sqa0.png",6,1,"sqa",-120,0,"tri5.png",5,1,"tri",120,0,"sqa0.png",5,0,"sqa",0,-120,"tri1.png",1,1,"tri",0,0,"sqa0.png",1,"sqa",120,120,"left","left",662,1333,1,1697219311451,"p3sarrshacol4.png","sarrshacol","new"
"26",1154,0,0,NA,0,3,1,4,2,5,0,19,59,79,"13-09-23","19:47:46","lw9b5u",1667,"tri5.png",5,1,"tri",120,0,"cir6.png",6,1,"cir",0,120,"sqa5.png",5,1,"sqa",0,0,"sqa4.png",4,1,"sqa",-120,120,"tri6.png",6,1,"tri",120,120,"cir0.png",1,"cir",120,-120,"left","left",662,1333,2,1697219311451,"p3sarrshacol4.png","sarrshacol","new"
"27",1155,5,NA,1,4,NA,2,0,3,NA,0,19,59,79,"13-09-23","19:47:46","lw9b5u",1667,"tri0.png",5,1,"tri",120,-120,"cir0.png",3,1,"cir",120,0,"sqa2.png",2,1,"sqa",0,120,"cir3.png",3,1,"cir",-120,0,"tri0.png",5,1,"tri",-120,-120,"cir0.png",1,"cir",120,120,"left","left",662,1333,3,1697219311451,"p3sarrshacol4.png","sarrshacol","new"
"28",1156,0,5,1,0,4,2,NA,3,NA,0,19,59,79,"13-09-23","19:47:46","lw9b5u",1667,"sqa1.png",1,1,"sqa",120,-120,"tri1.png",1,1,"tri",120,0,"cir4.png",4,1,"cir",0,120,"cir2.png",2,1,"cir",0,0,"sqa6.png",6,1,"sqa",0,-120,"cir0.png",1,"cir",120,120,"left","left",662,1333,4,1697219311451,"p3sarrshacol4.png","sarrshacol","new"
"29",1298,0,2,4,1,5,3,0,0,NA,0,19,59,79,"13-09-23","13:12:34","t49t9d",417,"sqa0.png",0,1,"sqa",-120,0,"cir0.png",0,1,"cir",0,-120,"tri0.png",0,1,"tri",120,0,"cir0.png",0,1,"cir",120,-120,"tri0.png",0,1,"tri",0,0,"tri0.png",1,"tri",120,120,"right","right",593,2583,1,1697195573405,"p3sarrshacol4.png","sarrshacol","new"
"30",1299,0,2,1,4,5,3,0,0,0,0,19,59,79,"13-09-23","13:12:34","t49t9d",417,"tri0.png",0,1,"tri",120,-120,"sqa0.png",0,1,"sqa",0,-120,"sqa0.png",0,1,"sqa",120,0,"sqa0.png",0,1,"sqa",-120,0,"cir0.png",0,1,"cir",0,0,"tri0.png",1,"tri",120,120,"right","right",593,2583,2,1697195573405,"p3sarrshacol4.png","sarrshacol","new"
"31",1300,5,4,0,3,1,2,0,0,0,0,19,59,79,"13-09-23","13:12:34","t49t9d",417,"sqa0.png",0,1,"sqa",0,0,"cir0.png",0,1,"cir",120,0,"sqa0.png",0,1,"sqa",-120,0,"tri0.png",0,1,"tri",0,-120,"tri0.png",0,1,"tri",-120,-120,"tri0.png",1,"tri",120,120,"right","right",593,2583,3,1697195573405,"p3sarrshacol4.png","sarrshacol","new"
"32",1301,0,5,3,4,1,2,0,0,0,0,19,59,79,"13-09-23","13:12:34","t49t9d",417,"cir0.png",0,1,"cir",0,0,"tri0.png",0,1,"tri",120,0,"sqa0.png",0,1,"sqa",120,-120,"sqa0.png",0,1,"sqa",-120,0,"sqa0.png",0,1,"sqa",0,-120,"tri0.png",1,"tri",120,120,"right","right",593,2583,4,1697195573405,"p3sarrshacol4.png","sarrshacol","new"
"33",1443,0,2,1,5,0,3,4,0,0,0,19,59,79,"12-09-23","11:46:08","by5ti8",2080,"sqa4.png",4,1,"sqa",120,-120,"sqa5.png",5,1,"sqa",0,-120,"sqa3.png",3,1,"sqa",120,0,"cir1.png",1,1,"cir",-120,120,"tri4.png",4,1,"tri",-120,0,"",NA,"",NA,NA,"right","left",1330,920,1,1697104040029,"p3sarrshacol4.png","sarrshacol","new"
"34",1444,4,1,0,5,0,3,0,0,2,0,19,59,79,"12-09-23","11:46:08","by5ti8",2080,"cir4.png",4,1,"cir",0,-120,"tri5.png",5,1,"tri",120,120,"tri1.png",1,1,"tri",120,0,"sqa6.png",6,1,"sqa",-120,-120,"sqa3.png",3,1,"sqa",-120,0,"",NA,"",NA,NA,"right","left",1330,920,2,1697104040029,"p3sarrshacol4.png","sarrshacol","new"
"35",1445,5,3,1,4,0,0,2,0,0,0,19,59,79,"12-09-23","11:46:08","by5ti8",2080,"sqa1.png",1,1,"sqa",120,-120,"sqa3.png",3,1,"sqa",-120,120,"sqa5.png",5,1,"sqa",0,-120,"cir1.png",1,1,"cir",-120,0,"tri4.png",4,1,"tri",-120,-120,"cir0.png",1,"cir",-120,0,"right","left",1330,920,3,1697104040029,"p3sarrshacol4.png","sarrshacol","new"
"36",1446,2,5,0,4,1,3,0,0,0,0,19,59,79,"12-09-23","11:46:08","by5ti8",2080,"sqa3.png",3,1,"sqa",0,0,"tri6.png",6,1,"tri",-120,-120,"cir4.png",4,1,"cir",120,0,"tri1.png",1,1,"tri",-120,0,"sqa4.png",4,1,"sqa",0,-120,"cir0.png",1,"cir",-120,0,"right","left",1330,920,4,1697104040029,"p3sarrshacol4.png","sarrshacol","new"
"37",1588,0,1,5,0,4,2,0,3,0,0,19,59,79,"10-09-23","12:07:50","furmxy",1888,"tri1.png",1,1,"tri",0,-120,"tri3.png",3,1,"tri",120,0,"sqa1.png",1,1,"sqa",0,120,"cir5.png",5,1,"cir",0,0,"tri3.png",3,1,"tri",120,-120,"",NA,"",NA,NA,"right","left",905,1112,1,1696932523087,"p3sarrshacol4.png","sarrshacol","new"
"38",1589,4,2,0,3,5,1,0,0,0,0,19,59,79,"10-09-23","12:07:50","furmxy",1888,"tri3.png",3,1,"tri",120,0,"cir4.png",4,1,"cir",0,-120,"sqa2.png",2,1,"sqa",-120,0,"tri6.png",6,1,"tri",-120,-120,"sqa2.png",2,1,"sqa",0,0,"",NA,"",NA,NA,"right","left",905,1112,2,1696932523087,"p3sarrshacol4.png","sarrshacol","new"
"39",1590,0,4,2,1,0,5,3,0,0,0,19,59,79,"10-09-23","12:07:50","furmxy",1888,"cir4.png",4,1,"cir",-120,0,"sqa4.png",4,1,"sqa",120,-120,"tri1.png",1,1,"tri",-120,120,"cir6.png",6,1,"cir",0,-120,"tri4.png",4,1,"tri",120,0,"",NA,"",NA,NA,"right","left",905,1112,3,1696932523087,"p3sarrshacol4.png","sarrshacol","new"
"40",1591,0,4,3,5,2,1,0,0,0,0,19,59,79,"10-09-23","12:07:50","furmxy",1888,"sqa1.png",1,1,"sqa",120,0,"sqa4.png",4,1,"sqa",0,0,"tri2.png",2,1,"tri",120,-120,"cir3.png",3,1,"cir",0,-120,"tri4.png",4,1,"tri",-120,0,"",NA,"",NA,NA,"right","left",905,1112,4,1696932523087,"p3sarrshacol4.png","sarrshacol","new"
"41",1733,0,0,0,0,0,0,0,0,0,0,19,59,79,"08-09-23","12:42:26","b8b36q",808,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"cir0.png",0,0,"cir",0,0,"",NA,"",NA,NA,"right","down",1225,2192,1,1696761797176,"p3sarrshacol4.png","sarrshacol","new"
"42",1734,0,3,2,0,5,4,0,1,0,0,19,59,79,"08-09-23","12:42:26","b8b36q",808,"sqa0.png",0,1,"sqa",0,120,"tri3.png",3,1,"tri",120,-120,"tri5.png",5,1,"tri",0,-120,"tri1.png",1,1,"tri",120,0,"cir0.png",4,1,"cir",0,0,"",NA,"",NA,NA,"right","down",1225,2192,2,1696761797176,"p3sarrshacol4.png","sarrshacol","new"
"43",1735,4,3,0,1,5,2,0,0,0,0,19,59,79,"08-09-23","12:42:26","b8b36q",808,"cir1.png",1,1,"cir",-120,0,"tri2.png",2,1,"tri",120,0,"sqa6.png",6,1,"sqa",0,-120,"cir5.png",5,1,"cir",-120,-120,"sqa4.png",4,1,"sqa",0,0,"",NA,"",NA,NA,"right","down",1225,2192,3,1696761797176,"p3sarrshacol4.png","sarrshacol","new"
"44",1736,0,3,4,5,2,1,0,0,0,0,19,59,79,"08-09-23","12:42:26","b8b36q",808,"tri1.png",1,1,"tri",120,0,"cir6.png",6,1,"cir",0,0,"sqa5.png",5,1,"sqa",0,-120,"cir4.png",4,1,"cir",120,-120,"sqa2.png",2,1,"sqa",-120,0,"",NA,"",NA,NA,"right","down",1225,2192,4,1696761797176,"p3sarrshacol4.png","sarrshacol","new"
"45",2019,0,5,1,4,0,2,3,0,0,0,19,59,79,"07-09-23","10:39:18","ixi976",1894,"sqa5.png",5,1,"sqa",120,-120,"cir4.png",4,1,"cir",120,0,"tri4.png",4,1,"tri",-120,120,"cir6.png",6,1,"cir",-120,0,"cir4.png",4,1,"cir",0,-120,"",NA,"",NA,NA,"right","left",1557,1106,1,1696668033499,"p3sarrshacol4.png","sarrshacol","new"
"46",2020,5,1,0,4,2,3,0,0,0,0,19,59,79,"07-09-23","10:39:18","ixi976",1894,"sqa3.png",3,1,"sqa",0,-120,"sqa6.png",6,1,"sqa",0,0,"tri2.png",2,1,"tri",120,0,"cir6.png",6,1,"cir",-120,0,"cir1.png",1,1,"cir",-120,-120,"",NA,"",NA,NA,"right","left",1557,1106,2,1696668033499,"p3sarrshacol4.png","sarrshacol","new"
"47",2021,0,5,2,3,4,1,0,0,0,0,19,59,79,"07-09-23","10:39:18","ixi976",1894,"sqa5.png",5,1,"sqa",120,0,"cir4.png",4,1,"cir",120,-120,"cir4.png",4,1,"cir",-120,0,"tri1.png",1,1,"tri",0,0,"sqa5.png",5,1,"sqa",0,-120,"",NA,"",NA,NA,"right","left",1557,1106,3,1696668033499,"p3sarrshacol4.png","sarrshacol","new"
"48",2022,0,3,5,0,2,1,0,0,4,0,19,59,79,"07-09-23","10:39:18","ixi976",1894,"tri1.png",1,1,"tri",120,0,"cir5.png",5,1,"cir",0,0,"tri1.png",1,1,"tri",0,-120,"cir5.png",5,1,"cir",120,120,"sqa4.png",4,1,"sqa",120,-120,"",NA,"",NA,NA,"right","left",1557,1106,4,1696668033499,"p3sarrshacol4.png","sarrshacol","new"
"49",2164,0,2,3,1,0,5,4,0,0,0,19,59,79,"06-09-23","16:04:05","oz63kn",2192,"cir4.png",4,1,"cir",-120,0,"sqa1.png",1,1,"sqa",0,-120,"sqa4.png",4,1,"sqa",120,-120,"tri6.png",6,1,"tri",-120,120,"tri5.png",5,1,"tri",120,0,"",NA,"",NA,NA,"None","left",3001,808,1,1696601053340,"p3sarrshacol4.png","sarrshacol","new"
"50",2165,1,5,0,3,4,2,0,0,0,0,19,59,79,"06-09-23","16:04:05","oz63kn",2192,"cir1.png",1,1,"cir",-120,-120,"sqa2.png",2,1,"sqa",120,0,"cir6.png",6,1,"cir",-120,0,"sqa5.png",5,1,"sqa",0,0,"tri3.png",3,1,"tri",0,-120,"",NA,"",NA,NA,"None","left",3001,808,2,1696601053340,"p3sarrshacol4.png","sarrshacol","new"
"51",2166,0,0,0,0,4,3,2,5,1,0,19,59,79,"06-09-23","16:04:05","oz63kn",2192,"tri1.png",1,1,"tri",120,120,"sqa4.png",4,1,"sqa",-120,120,"tri6.png",6,1,"tri",120,0,"sqa2.png",2,1,"sqa",0,0,"cir5.png",5,1,"cir",0,120,"",NA,"",NA,NA,"None","left",3001,808,3,1696601053340,"p3sarrshacol4.png","sarrshacol","new"
"52",2167,3,2,0,5,1,0,4,0,0,0,19,59,79,"06-09-23","16:04:05","oz63kn",2192,"tri3.png",3,1,"tri",0,0,"tri3.png",3,1,"tri",0,-120,"sqa4.png",4,1,"sqa",-120,-120,"sqa1.png",1,1,"sqa",-120,120,"cir5.png",5,1,"cir",-120,0,"",NA,"",NA,NA,"None","left",3001,808,4,1696601053340,"p3sarrshacol4.png","sarrshacol","new"
